epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7797507643699646,0.6423859596252441
0,234,0.9384389519691467,0.2214730679988861,,
1,469,,,0.7940809726715088,0.6452779173851013
1,469,0.9686185717582703,0.14825506508350372,,
2,704,,,0.7947040796279907,0.6834210753440857
2,704,0.9861120581626892,0.09996690601110458,,
3,939,,,0.7828660607337952,0.7206199169158936
3,939,0.9937905073165894,0.06778987497091293,,
4,1174,,,0.7922118306159973,0.712482750415802
4,1174,0.9966615438461304,0.049754537642002106,,
5,1409,,,0.7903426885604858,0.7469276189804077
5,1409,0.9989984631538391,0.03482973203063011,,
6,1644,,,0.7735202312469482,0.7999534606933594
6,1644,0.9997996687889099,0.02493991330265999,,
7,1879,,,0.7806853652000427,0.838817834854126
7,1879,0.9997996687889099,0.018370231613516808,,
8,2114,,,0.7912772297859192,0.796636700630188
8,2114,0.9998664855957031,0.014683912508189678,,
9,2349,,,0.7841121554374695,0.8308318257331848
9,2349,1.0,0.011802513152360916,,
10,2584,,,0.7844236493110657,0.8592561483383179
10,2584,0.9999332427978516,0.01034252718091011,,
11,2819,,,0.7875389456748962,0.868201494216919
11,2819,0.9999332427978516,0.007832987233996391,,
12,3054,,,0.7943925261497498,0.8619177937507629
12,3054,0.9999332427978516,0.006858097389340401,,
13,3289,,,0.795950174331665,0.863789975643158
13,3289,0.9997996687889099,0.006504745222628117,,
14,3524,,,0.7897196412086487,0.8598237037658691
14,3524,0.9997329115867615,0.006134312134236097,,
