epoch,step,train_loss,val_loss
0,234,,0.6507865786552429
0,234,0.6906372308731079,
1,469,,0.7486239075660706
1,469,0.3313617706298828,
2,704,,0.866476833820343
2,704,0.08752395212650299,
3,939,,0.9847235679626465
3,939,0.026992397382855415,
4,1174,,1.0316778421401978
4,1174,0.005585918668657541,
5,1409,,1.2847464084625244
5,1409,0.026041172444820404,
6,1644,,1.3382362127304077
6,1644,0.02157605066895485,
7,1879,,1.3169996738433838
7,1879,0.04701996594667435,
8,2114,,1.298075795173645
8,2114,0.052413810044527054,
9,2349,,1.2913495302200317
9,2349,0.011839902959764004,
