epoch,step,train_loss,val_loss
0,234,,1.2923306226730347
0,234,1.3530329465866089,
1,469,,1.2557108402252197
1,469,1.2621158361434937,
2,704,,1.2279078960418701
2,704,1.2326985597610474,
3,939,,1.1978428363800049
3,939,1.2062737941741943,
4,1174,,1.1746783256530762
4,1174,1.1808991432189941,
5,1409,,1.1471009254455566
5,1409,1.155879020690918,
6,1644,,1.1260666847229004
6,1644,1.1349306106567383,
7,1879,,1.1042927503585815
7,1879,1.1133605241775513,
8,2114,,1.0848093032836914
8,2114,1.0959111452102661,
9,2349,,1.069984793663025
9,2349,1.0773310661315918,
