epoch,step,train_loss,val_loss
0,234,,0.6553522944450378
0,234,0.7030739188194275,
1,469,,0.6436371803283691
1,469,0.5355366468429565,
2,704,,0.7365685105323792
2,704,0.4343080520629883,
3,939,,0.7139751315116882
3,939,0.3477758467197418,
4,1174,,0.7905085682868958
4,1174,0.2553919553756714,
5,1409,,0.7336233258247375
5,1409,0.22544515132904053,
6,1644,,1.1125719547271729
6,1644,0.12372998893260956,
7,1879,,0.8874050974845886
7,1879,0.14354871213436127,
8,2114,,0.994916558265686
8,2114,0.10927914083003998,
9,2349,,1.1439629793167114
9,2349,0.06870250403881073,
